d_carbon;d_nitrogen;sex;season;year
-17.5520542;10.7018024;Male;Breeding;2022
-17.6435914;11.1373244;Female;Breeding;2022
-17.708836;10.744854;Male;Breeding;2022
-16.7141;10.7543;Male;Breeding;2019
-16.553;11.7237;Female;Breeding;2019
-16.7525;10.9577;Male;Breeding;2019
-16.688;10.7484;Male;Breeding;2019
-16.7901;10.7216;Male;Breeding;2019
-16.6574;10.9355;Female;Breeding;2019
-16.7508;10.58;Female;Breeding;2019
-16.6585;10.9834;Female;Breeding;2019
-16.5275;11.0494;Female;Breeding;2019
-16.6668;10.6017;Female;Breeding;2019
-16.5278;10.8594;Female;Breeding;2019
-16.6436;10.7973;Male;Breeding;2019
