id,year,sex,trip,tdr,duration,distance,range_max,prop_time_diving,straightness_index
F0419_9_SD,2019,F,2,0,4.0,2.183828424071106,0.9609502860237445,0.0,0.4400301211540856
F0419_9_SD,2019,F,3,1,234.25,85.41389521365097,58.48689120327174,0.017057569296375266,0.6940334010076761
F0422_10_SD,2022,M,1,1,487.75,231.79704232573772,92.10468374010124,0.01639344262295082,0.7545613298896953
F0422_10_SD,2022,M,2,1,406.25,127.55848561072419,45.34484336453799,0.010455104551045511,0.6738245279515207
F0422_10_SD,2022,M,3,1,293.75,104.61338580394941,39.779703971828106,0.017006802721088437,0.8779170610117708
F0422_11_SD,2022,M,1,1,204.25,89.20076718616943,27.21991569171702,0.02567237163814181,0.7083509682124243
F0422_11_SD,2022,M,2,1,216.5,82.83897029822958,26.81632098330864,0.02306805074971165,0.7238056518820274
F0422_11_SD,2022,M,3,1,219.5,102.14031912119137,39.35479580909732,0.020477815699658702,0.8151982134061528
F0422_12_SD,2022,F,1,1,487.25,185.36985395736633,72.59781521499596,0.013846153846153847,0.8862368979946615
F0422_13_SD,2022,F,1,1,266.5,100.30137124676443,31.290726160450564,0.01218369259606373,0.7689071274470861
F0422_13_SD,2022,F,2,1,146.75,64.4490576472924,22.911902591144216,0.023809523809523808,0.8465375965423134
F0422_13_SD,2022,F,3,1,256.5,100.66235179195833,34.452185809625746,0.014605647517039922,0.5669913188227432
F0422_14_SD,2022,M,1,1,2.75,1.3179414949952,0.7556859815778678,0.0,0.5733835564382318
F0422_14_SD,2022,M,2,1,79.5,46.50038906729865,18.20265751544764,0.018808777429467086,0.9314803133407218
F0422_14_SD,2022,M,3,1,188.0,83.5034959106804,23.093697157487135,0.021248339973439574,0.5604256443963932
F0422_14_SD,2022,M,4,1,544.0,188.6145655236557,54.01885569073171,0.01423977951309141,0.4555429720014513
F0422_14_SD,2022,M,5,1,279.5,87.46949395003318,32.55882159640033,0.004468275245755138,0.6691831886257938
F0422_15_SD,2022,F,1,1,210.25,112.6973198779029,45.189438906621675,0.028503562945368172,0.8014364975689292
F0422_15_SD,2022,F,2,1,77.5,42.550095889276356,16.40053925715098,0.00964630225080386,0.7387846712918072
F0422_15_SD,2022,F,3,1,275.25,154.7283033560866,66.01271308999253,0.006352087114337568,0.9674072441280788
F0422_15_SD,2022,F,4,1,203.0,106.74835088131016,49.07040343182827,0.007380073800738007,0.9178967389966723
F0422_17_SD,2022,M,1,1,153.25,71.06752813034576,17.786664570571308,0.02280130293159609,0.35184587461504147
F0422_17_SD,2022,M,2,1,54.75,34.14234478003331,12.325826093743437,0.004545454545454545,0.582892020204653
F0422_17_SD,2022,M,3,1,118.0,60.35969568895157,25.540737563934428,0.016913319238900635,0.8938892085297843
F0422_17_SD,2022,M,4,1,237.0,91.88403793949753,34.778529749529035,0.009483667017913594,0.6970327768847792
F0422_17_SD,2022,M,5,1,235.75,110.74597053250952,42.009708331964234,0.019067796610169493,0.7199527969792312
F0422_18_SD,2022,M,1,1,1.5,0.8579460450680111,0.33724952950179876,0.0,0.924060140826739
F0422_18_SD,2022,M,2,1,1.0,0.5483411705452951,0.4876437936222212,0.0,0.8893072776886082
F0422_18_SD,2022,M,3,1,427.0,181.43003441570934,58.69200207396542,0.014043300175541252,0.6088047513647298
F0422_18_SD,2022,M,4,1,422.5,130.30886637751195,49.05597022241103,0.008870490833826138,0.6270271474732589
F0422_18_SD,2022,M,5,1,216.0,98.34062698941251,36.580914698433205,0.019653179190751446,0.7149796208983411
F0422_19_SD,2022,F,1,1,145.0,52.324743407214186,13.888410174109291,0.03270223752151463,0.8268927847516317
F0422_19_SD,2022,F,2,1,305.25,148.911855003293,59.21861260602225,0.0220949263502455,0.8051641370592143
F0422_19_SD,2022,F,3,1,447.75,171.93185806937257,66.93766100576472,0.010044642857142858,0.7334300079842194
F0422_1_SD,2022,F,1,1,312.25,130.93421794454989,50.32284398312634,0.0128,0.6935582965812843
F0422_1_SD,2022,F,2,1,332.75,102.17372228643833,35.851545952259386,0.010510510510510511,0.6272192040669932
